Rank,Team,Subdivision,Record,Score,Week 1 Score,Week 2 Opponent Rank Points,Week 2 Win Points,Week 2 Margin Points,Week 2 Game Points,Opponent Strength
143,Penn,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Princeton,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Yale,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Ohio,FBS,1-1,-0.5,-161.5,149.0,10.0,2.0,161.0,282.5
147,Toledo,FBS,1-1,-3.5,-143.5,77.0,10.0,53.0,140.0,210.5
148,Alcorn State,FCS,2-1,-4.75,-55.25,44.5,5.0,1.0,50.5,222.5
149,Northern Iowa,FCS,1-1,-6.75,-71.75,39.0,5.0,21.0,65.0,211.5
150,Missouri State,FBS,1-1,-7.5,-183.5,132.0,10.0,34.0,176.0,265.5
151,Stanford,FBS,1-1,-19.0,-19.0,0.0,0.0,0.0,0.0,267.0
152,Alabama A&M,FCS,2-1,-21.75,-52.75,12.5,5.0,13.5,31.0,158.5
153,UTEP,FBS,1-1,-24.0,-184.5,109.5,10.0,41.0,160.5,243.0
154,Ball State,FBS,1-1,-24.5,-186.5,128.0,10.0,24.0,162.0,261.5
155,Wisconsin,FBS,1-1,-25.5,-161.5,99.0,10.0,27.0,136.0,232.5
156,Syracuse,FBS,1-1,-25.5,206.5,-229.0,0.0,-3.0,-232.0,171.5
157,North Carolina Central,FCS,2-1,-29.25,-52.25,14.0,5.0,4.0,23.0,161.5
158,Robert Morris,FCS,2-1,-30.5,102.25,-115.25,0.0,-17.5,-132.75,170.0
159,Eastern Washington,FCS,1-2,-31.75,6.5,-29.25,0.0,-9.0,-38.25,475.5
160,Butler,FCS,2-1,-32.25,-68.25,0.0,10.0,26.0,36.0,133.5
161,Lafayette,FCS,1-1,-36.5,-91.25,47.75,5.0,2.0,54.75,229.0
162,Bethune-Cookman,FCS,1-1,-39.75,-100.25,43.0,5.0,12.5,60.5,219.5
163,McNeese,FCS,1-2,-40.25,-36.25,-2.5,0.0,-1.5,-4.0,395.5
164,St. Thomas (MN),FCS,2-1,-40.75,-71.75,0.0,10.0,21.0,31.0,133.5
165,Incarnate Word,FCS,1-1,-41.0,41.0,-77.0,0.0,-5.0,-82.0,113.0
166,Howard,FCS,1-2,-42.5,5.0,-20.0,0.0,-27.5,-47.5,494.0
167,Southern Utah,FCS,1-2,-46.75,4.0,-33.75,0.0,-17.0,-50.75,466.5
168,Chicago State,FCS,1-2,-46.75,-92.25,0.0,10.0,35.5,45.5,133.5
169,The Citadel,FCS,1-2,-49.75,64.75,-111.5,0.0,-3.0,-114.5,311.0
170,Western Carolina,FCS,1-2,-51.0,12.5,-37.5,0.0,-26.0,-63.5,459.0
171,UT Martin,FCS,1-2,-52.0,16.5,-46.0,0.0,-22.5,-68.5,442.0
172,South Alabama,FBS,1-1,-52.5,168.5,-217.0,0.0,-4.0,-221.0,183.5
173,Coastal Carolina,FBS,1-1,-58.5,-140.5,34.0,10.0,38.0,82.0,167.5
174,Morehead State,FCS,1-2,-61.0,34.5,-67.5,0.0,-28.0,-95.5,132.0
175,Weber State,FCS,1-2,-63.0,3.0,-50.5,0.0,-15.5,-66.0,433.0
176,Charleston Southern,FCS,1-2,-64.0,-150.5,78.5,5.0,3.0,86.5,424.0
177,Murray State,FCS,1-2,-67.0,-152.5,76.0,5.0,4.5,85.5,419.0
178,Arkansas State,FBS,1-1,-69.5,-151.5,27.0,10.0,45.0,82.0,160.5
179,Davidson,FCS,1-2,-71.75,-88.75,0.0,10.0,7.0,17.0,133.5
180,Liberty,FBS,1-1,-74.0,-140.5,55.5,10.0,1.0,66.5,189.0
181,Oregon,FBS,1-1,-74.5,150.5,-217.0,0.0,-8.0,-225.0,183.5
182,Buffalo,FBS,1-1,-75.0,147.5,-209.5,0.0,-13.0,-222.5,191.0
183,Grambling,FCS,2-1,-77.0,52.0,-101.0,0.0,-28.0,-129.0,65.0
184,Wyoming,FBS,1-1,-78.0,-155.5,59.5,10.0,8.0,77.5,193.0
185,SE Louisiana,FCS,1-2,-78.5,-149.0,63.0,5.0,2.5,70.5,393.0
186,Southeast Missouri State,FCS,1-2,-79.75,-8.0,-64.75,0.0,-7.0,-71.75,404.5
187,Presbyterian,FCS,1-1,-81.25,-81.25,0.0,0.0,0.0,0.0,133.5
188,Georgetown,FCS,0-1,-82.25,-82.25,0.0,0.0,0.0,0.0,133.5
189,New Haven,FCS,1-2,-83.5,-3.5,-58.5,0.0,-21.5,-80.0,417.0
190,Valparaiso,FCS,1-1,-84.5,33.0,-113.0,0.0,-4.5,-117.5,41.0
191,Indiana State,FCS,1-2,-85.25,-147.0,53.25,5.0,3.5,61.75,373.5
192,Boston College,FBS,1-1,-90.5,-152.5,45.0,10.0,7.0,62.0,178.5
193,Middle Tennessee,FBS,1-1,-90.5,167.5,-256.0,0.0,-2.0,-258.0,144.5
194,Eastern Kentucky,FCS,1-2,-93.0,-166.5,66.0,5.0,2.5,73.5,399.0
195,Georgia Southern,FBS,1-1,-93.5,174.5,-253.0,0.0,-15.0,-268.0,147.5
196,Navy,FBS,1-1,-93.5,170.5,-256.0,0.0,-8.0,-264.0,144.5
197,New Hampshire,FCS,1-2,-96.0,-172.0,67.5,5.0,3.5,76.0,402.0
198,Norfolk State,FCS,1-2,-97.25,-39.25,-30.0,0.0,-28.0,-58.0,340.5
199,Miami (OH),FBS,1-1,-97.5,-178.5,33.0,10.0,38.0,81.0,166.5
200,Eastern Michigan,FBS,1-2,-102.5,15.0,-89.5,0.0,-28.0,-117.5,444.5
201,Merrimack,FCS,1-2,-103.0,-164.5,52.0,5.0,4.5,61.5,371.0
202,East Texas A&M,FCS,1-2,-103.0,-156.0,36.0,5.0,12.0,53.0,339.0
203,Prairie View A&M,FCS,1-2,-104.5,14.5,-98.5,0.0,-20.5,-119.0,337.0
